bbref_name,bbref_id,nba_name,nba_id
Jared Rhoden,rhodeja01,Jared Rhoden,1631197
Josh Richardson,richajo01,Josh Richardson,1626196
Nick Richards,richani01,Nick Richards,1630208
Austin Rivers,riverau01,Austin Rivers,203085
Duncan Robinson,robindu01,Duncan Robinson,1629130
Jeremiah Robinson-Earl,robinje02,Jeremiah Robinson-Earl,1630526
Mitchell Robinson,robinmi01,Mitchell Robinson,1629011
Orlando Robinson,robinor01,Orlando Robinson,1631115
David Roddy,roddyda01,David Roddy,1631223
Ryan Rollins,rolliry01,Ryan Rollins,1631157
Derrick Rose,rosede01,Derrick Rose,201565
Terrence Ross,rosste01,Terrence Ross,203082
Terry Rozier,roziete01,Terry Rozier,1626179
Ricky Rubio,rubiori01,Ricky Rubio,201937
D'Angelo Russell,russeda01,D'Angelo Russell,1626156
Matt Ryan,ryanma01,Matt Ryan,1630346
Domantas Sabonis,sabondo01,Domantas Sabonis,1627734
Olivier Sarr,sarrol01,Olivier Sarr,1630846
Jordan Schakel,schakjo01,Jordan Schakel,1630648
Admiral Schofield,schofad01,Admiral Schofield,1629678
Jay Scrubb,scrubja01,Jay Scrubb,1630206
Dereon Seabron,seabrde01,Dereon Seabron,1631220
Collin Sexton,sextoco01,Collin Sexton,1629012
Landry Shamet,shamela01,Landry Shamet,1629013
Day'Ron Sharpe,sharpda01,Day'Ron Sharpe,1630549
Shaedon Sharpe,sharpsh01,Shaedon Sharpe,1631101
Pascal Siakam,siakapa01,Pascal Siakam,1627783
Chris Silva,silvach01,Chris Silva,1629735
Ben Simmons,simmobe01,Ben Simmons,1627732
Kobi Simmons,simmoko01,Kobi Simmons,1628424
Anfernee Simons,simonan01,Anfernee Simons,1629014
Marko Simonovic,simonma01,Marko Simonovic,1630250
Jericho Sims,simsje01,Jericho Sims,1630579
Marcus Smart,smartma01,Marcus Smart,203935
Dennis Smith Jr.,smithde03,Dennis Smith Jr.,1628372
Dru Smith,smithdr01,Dru Smith,1630696
Ish Smith,smithis01,Ish Smith,202397
Jalen Smith,smithja04,Jalen Smith,1630188
Jabari Smith Jr.,smithja05,Jabari Smith Jr.,1631095
Xavier Sneed,sneedxa01,Xavier Sneed,1630270
Jeremy Sochan,sochaje01,Jeremy Sochan,1631110
Jaden Springer,sprinja01,Jaden Springer,1630531
Lamar Stevens,stevela01,Lamar Stevens,1630205
Isaiah Stewart,stewais01,Isaiah Stewart,1630191
Max Strus,strusma01,Max Strus,1629622
Jalen Suggs,suggsja01,Jalen Suggs,1630591
Edmond Sumner,sumneed01,Edmond Sumner,1628410
Cole Swider,swideco01,Cole Swider,1631306
Jae'Sean Tate,tateja01,Jae'Sean Tate,1630256
Jayson Tatum,tatumja01,Jayson Tatum,1628369
Terry Taylor,taylote01,Terry Taylor,1630678
Garrett Temple,templga01,Garrett Temple,202066
Dalen Terry,terryda01,Dalen Terry,1631207
Daniel Theis,theisda01,Daniel Theis,1628464
Cam Thomas,thomaca02,Cam Thomas,1630560
Klay Thompson,thompkl01,Klay Thompson,202691
JT Thor,thorjt01,JT Thor,1630550
Matisse Thybulle,thybuma01,Matisse Thybulle,1629680
Isaiah Todd,toddis01,Isaiah Todd,1630225
Obi Toppin,toppiob01,Obi Toppin,1630167
Juan Toscano-Anderson,toscaju01,Juan Toscano-Anderson,1629308
Karl-Anthony Towns,townska01,Karl-Anthony Towns,1626157
Gary Trent Jr.,trentga02,Gary Trent Jr.,1629018
P.J. Tucker,tuckepj01,P.J. Tucker,200782
Myles Turner,turnemy01,Myles Turner,1626167
Stanley Umude,umudest01,Stanley Umude,1630649
Jarred Vanderbilt,vandeja01,Jarred Vanderbilt,1629020
Fred VanVleet,vanvlfr01,Fred VanVleet,1627832
Devin Vassell,vassede01,Devin Vassell,1630170
Gabe Vincent,vincega01,Gabe Vincent,1629216
Noah Vonleh,vonleno01,Noah Vonleh,203943
Dean Wade,wadede01,Dean Wade,1629731
Franz Wagner,wagnefr01,Franz Wagner,1630532
Moritz Wagner,wagnemo01,Moritz Wagner,1629021
Ish Wainright,wainris01,Ish Wainright,1630688
Jabari Walker,walkeja01,Jabari Walker,1631133
Kemba Walker,walkeke02,Kemba Walker,202689
Lonnie Walker IV,walkelo01,Lonnie Walker IV,1629022
T.J. Warren,warretj01,T.J. Warren,203933
Duane Washington Jr.,washidu02,Duane Washington Jr.,1630613
P.J. Washington,washipj01,P.J. Washington,1629023
TyTy Washington Jr.,washity02,TyTy Washington Jr.,1631102
Yuta Watanabe,watanyu01,Yuta Watanabe,1629139
